common_name,latin_name,plant_part,constituent,class,subclass,importance,status,notes
Arnica,Arnica montana,Flower,Luteolin,Flavonoid,Flavone,Moderate,Present,"Contributes anti-inflammatory, antioxidant, and antispasmodic activity."
Arnica,Arnica montana,Flower,Quercetin,Flavonoid,Flavonol,Moderate,Present,"Contributes antioxidant, anti-inflammatory, and mast-cell-modulating activity."
Arnica,Arnica montana,Flower,Thymol methyl ether,Phenylpropanoid,Monoterpene phenol,Moderate,Present,Contributes aromatic antimicrobial and carminative activity.
Arnica,Arnica montana,Flower,Chlorogenic acid,Polyphenol,Hydroxycinnamic acid,Low–Moderate,Present,"Contributes antioxidant, hepatoprotective, and bitter digestive-support activity."
Arnica,Arnica montana,Flower,β-Sitosterol,Sterol,Phytosterol,Low,Present,"Contributes anti-inflammatory, membrane-stabilizing, and endocrine-modulating activity."
Arnica,Arnica montana,Flower,Helenalin,Terpenoid,Sesquiterpene lactone,High,Marker,Contributes arnica’s topical anti-inflammatory activity and irritant potential.
Arnica,Arnica montana,Flower,Dihydrohelenalin acetate,Terpenoid,Sesquiterpene lactone,Moderate,Major,Contributes arnica’s topical anti-inflammatory sesquiterpene-lactone activity.
Arnica,Arnica montana,Flower,Helenalin acetate,Terpenoid,Sesquiterpene lactone,Moderate,Major,Contributes arnica’s topical anti-inflammatory activity and irritant potential.
Arnica,Arnica montana,Flower,Thymol,Phenylpropanoid,Monoterpene phenol,Moderate,Major,"Contributes antimicrobial, antispasmodic, and aromatic expectorant activity."
Arnica,Arnica montana,Flower,"11α,13-Dihydrohelenalin",Terpenoid,Sesquiterpene lactone,High,Major,Contributes arnica’s topical anti-inflammatory sesquiterpene-lactone activity.
Arogyappacha,Trichopus zeylanicus,Leaf,Kaempferol,Flavonoid,Flavonol,Moderate,Present,Contributes antioxidant and anti-inflammatory flavonol activity.
Arogyappacha,Trichopus zeylanicus,Leaf,Quercetin,Flavonoid,Flavonol,Moderate,Present,"Contributes antioxidant, anti-inflammatory, and mast-cell-modulating activity."
Arogyappacha,Trichopus zeylanicus,Leaf,Rutin,Flavonoid,Flavonol glycoside,Moderate,Present,Supports capillary integrity and antioxidant activity.
Arogyappacha,Trichopus zeylanicus,Leaf,β-Sitosterol,Sterol,Phytosterol,Moderate,Present,"Contributes anti-inflammatory, membrane-stabilizing, and endocrine-modulating activity."
Arogyappacha,Trichopus zeylanicus,Leaf,Daucosterol,Sterol,Sterol glycoside,Low–Moderate,Present,Contributes phytosterol-glycoside activity and anti-inflammatory support.
Arogyappacha,Trichopus zeylanicus,Leaf,Trichopuside A,Glycoside,Steroidal glycoside,High,Marker,Supports adaptogenic and anti-fatigue activity attributed to arogyappacha.
Arogyappacha,Trichopus zeylanicus,Leaf,Trichopuside C,Glycoside,Steroidal glycoside,Moderate,Major,Supports adaptogenic and anti-fatigue activity attributed to arogyappacha.
Arogyappacha,Trichopus zeylanicus,Leaf,Trichopuside B,Glycoside,Steroidal glycoside,High,Major,Supports adaptogenic and anti-fatigue activity attributed to arogyappacha.
Artichoke,Cynara scolymus,Leaf,Cryptochlorogenic acid,Polyphenol,Caffeoylquinic acid,Moderate,Present,Contributes antioxidant and digestive-support phenolic activity.
Artichoke,Cynara scolymus,Leaf,Cynaroside,Flavonoid,Flavone glycoside,Moderate,Present,Contributes antioxidant and anti-inflammatory flavone-glycoside activity.
Artichoke,Cynara scolymus,Leaf,Grosheimin,Terpenoid,Sesquiterpene lactone,Moderate,Present,Contributes bitter anti-inflammatory sesquiterpene-lactone activity.
Artichoke,Cynara scolymus,Leaf,Inulin,Polysaccharide,Fructan,Moderate,Present,Prebiotic fructan supporting gut microbiota and mild demulcent activity.
Artichoke,Cynara scolymus,Leaf,Cynarin,Polyphenol,Caffeoylquinic acid,High,Marker,"Supports choleretic, hepatoprotective, and bitter digestive activity."
Artichoke,Cynara scolymus,Leaf,Cynaropicrin,Terpenoid,Sesquiterpene lactone,High,Marker,"Contributes strong bitter, choleretic, and digestive-stimulant activity."
Artichoke,Cynara scolymus,Leaf,Luteolin-7-O-glucoside,Flavonoid,Flavone glycoside,Moderate,Major,Contributes anti-inflammatory and antispasmodic flavone activity.
Artichoke,Cynara scolymus,Leaf,Neochlorogenic acid,Polyphenol,Caffeoylquinic acid,Moderate,Major,Contributes antioxidant and digestive-support phenolic activity.
Artichoke,Cynara scolymus,Leaf,Chlorogenic acid,Polyphenol,Caffeoylquinic acid,High,Major,"Contributes antioxidant, hepatoprotective, and bitter digestive-support activity."
Artichoke,Cynara scolymus,Leaf,Luteolin,Flavonoid,Flavone,High,Major,"Contributes anti-inflammatory, antioxidant, and antispasmodic activity."
Ashwagandha,Withania somnifera,Root,Scopoletin,Coumarin,Simple coumarin,Low,Reported,"Contributes antispasmodic and anti-inflammatory activity, especially on smooth muscle."
Ashwagandha,Withania somnifera,Root,Sitoindoside VII,Glycoside,Steroidal glycoside,Moderate,Present,Contributes adaptogenic and stress-modulating activity of ashwagandha.
Ashwagandha,Withania somnifera,Root,Sitoindoside VIII,Glycoside,Steroidal glycoside,Moderate,Present,Contributes adaptogenic and stress-modulating activity of ashwagandha.
Ashwagandha,Withania somnifera,Root,Withanoside IV,Glycoside,Steroidal glycoside,Moderate,Present,Supports adaptogenic and neuroprotective activity of ashwagandha.
Ashwagandha,Withania somnifera,Root,Withanoside V,Glycoside,Steroidal glycoside,Moderate,Present,Supports adaptogenic and neuroprotective activity of ashwagandha.
Ashwagandha,Withania somnifera,Root,β-Sitosterol,Sterol,Phytosterol,Low,Present,"Contributes anti-inflammatory, membrane-stabilizing, and endocrine-modulating activity."
Ashwagandha,Withania somnifera,Root,Withaferin A,Steroid,Withanolide,High,Marker,Contributes anti-inflammatory and adaptogenic withanolide activity.
Ashwagandha,Withania somnifera,Root,Withanolide D,Steroid,Withanolide,Moderate,Major,Contributes anti-inflammatory and adaptogenic withanolide activity.
Ashwagandha,Withania somnifera,Root,Withanone,Steroid,Withanolide,Moderate,Major,Contributes adaptogenic and antioxidant withanolide activity.
Ashwagandha,Withania somnifera,Root,Withanolide A,Steroid,Withanolide,High,Major,Contributes adaptogenic and neuroprotective withanolide activity.
Asian Devil's Club,Echinopanax elatus,Bark,Kaempferol,Flavonoid,Flavonol,Low,Reported,Contributes antioxidant and anti-inflammatory flavonol activity.
Asian Devil's Club,Echinopanax elatus,Bark,Quercetin,Flavonoid,Flavonol,Low,Reported,"Contributes antioxidant, anti-inflammatory, and mast-cell-modulating activity."
Asian Devil's Club,Echinopanax elatus,Bark,Hederagenin,Terpenoid,Pentacyclic triterpenoid,Moderate,Present,Contributes expectorant and saponin-related membrane activity.
Asian Devil's Club,Echinopanax elatus,Bark,Oleanolic acid,Terpenoid,Pentacyclic triterpenoid,Moderate,Present,Contributes anti-inflammatory and tissue-repair activity.
Asian Devil's Club,Echinopanax elatus,Bark,Kalopanax saponin A,Glycoside,Triterpenoid saponin,High,Marker,Contributes adaptogenic and anti-inflammatory triterpenoid-saponin activity.
Asian Devil's Club,Echinopanax elatus,Bark,Kalopanax saponin C,Glycoside,Triterpenoid saponin,Moderate,Major,Contributes adaptogenic and anti-inflammatory triterpenoid-saponin activity.
Asian Devil's Club,Echinopanax elatus,Bark,Kalopanax saponin B,Glycoside,Triterpenoid saponin,High,Major,Contributes adaptogenic and anti-inflammatory triterpenoid-saponin activity.
Aspen,Populus tremuloides,Bark,Catechin,Flavonoid,Flavan-3-ol,Moderate,Present,Contributes antioxidant and astringent flavan-3-ol activity.
Aspen,Populus tremuloides,Bark,Proanthocyanidins,Tannin,Condensed tannin,Moderate,Present,"Contribute astringent, antioxidant, and capillary-supportive activity."
Aspen,Populus tremuloides,Bark,Quercetin,Flavonoid,Flavonol,Moderate,Present,"Contributes antioxidant, anti-inflammatory, and mast-cell-modulating activity."
Aspen,Populus tremuloides,Bark,Kaempferol,Flavonoid,Flavonol,Low–Moderate,Present,Contributes antioxidant and anti-inflammatory flavonol activity.
Aspen,Populus tremuloides,Bark,Salicin,Glycoside,Phenolic glycoside,High,Marker,Metabolized to salicylates; contributes analgesic and anti-inflammatory activity.
Aspen,Populus tremuloides,Bark,Populin,Glycoside,Phenolic glycoside,Moderate,Major,Contributes salicylate-like analgesic and anti-inflammatory activity.
Aspen,Populus tremuloides,Bark,Salicortin,Glycoside,Phenolic glycoside,High,Major,Contributes salicylate-like analgesic and anti-inflammatory activity.
Aspen,Populus tremuloides,Bark,Tremulacin,Glycoside,Phenolic glycoside,High,Major,Contributes salicylate-like analgesic and anti-inflammatory activity.
Balm of Gilead,Populus candicans,Bud,Caffeic acid,Polyphenol,Hydroxycinnamic acid,Moderate,Present,Contributes antioxidant and anti-inflammatory phenolic activity.
Balm of Gilead,Populus candicans,Bud,Chrysin,Flavonoid,Flavone,Moderate,Present,Contributes anti-inflammatory and mild calming flavone activity.
Balm of Gilead,Populus candicans,Bud,Galangin,Flavonoid,Flavonol,Moderate,Present,Contributes antimicrobial and anti-inflammatory flavonol activity.
Balm of Gilead,Populus candicans,Bud,Pinobanksin,Flavonoid,Flavanonol,Moderate,Present,Contributes antioxidant and antimicrobial resin-flavonoid activity.
Balm of Gilead,Populus candicans,Bud,Ferulic acid,Polyphenol,Hydroxycinnamic acid,Low–Moderate,Present,Contributes antioxidant and anti-inflammatory phenolic activity.
Balm of Gilead,Populus candicans,Bud,Salicin,Glycoside,Phenolic glycoside,High,Marker,Metabolized to salicylates; contributes analgesic and anti-inflammatory activity.
Balm of Gilead,Populus candicans,Bud,Benzyl benzoate,Phenylpropanoid,Benzoate ester,Moderate,Major,Contributes antimicrobial and antiparasitic activity; important allergenic constituent.
Balm of Gilead,Populus candicans,Bud,Salicortin,Glycoside,Phenolic glycoside,Moderate,Major,Contributes salicylate-like analgesic and anti-inflammatory activity.
Balm of Gilead,Populus candicans,Bud,Pinocembrin,Flavonoid,Flavanone,High,Major,"Contributes antimicrobial, anti-inflammatory, and antioxidant resin-flavonoid activity."
Balm of Gilead,Populus candicans,Bud,Populin,Glycoside,Phenolic glycoside,High,Major,Contributes salicylate-like analgesic and anti-inflammatory activity.
Balmony,Chelone glabra,Aerial parts,Aucubin,Glycoside,Iridoid glycoside,High,Marker,"Contributes bitter, anti-inflammatory, hepatoprotective, and vulnerary iridoid activity."
Balmony,Chelone glabra,Aerial parts,Catalpol,Glycoside,Iridoid glycoside,Moderate,Major,Contributes anti-inflammatory and hepatoprotective iridoid activity.
Balsam of Peru,Myroxylon balsamum var. pereirae,Balsam (oleoresin),Vanillin,Phenylpropanoid,Aromatic aldehyde,Low–Moderate,Present,"Contributes aromatic, soothing, and mild antimicrobial activity."
Balsam of Peru,Myroxylon balsamum var. pereirae,Balsam (oleoresin),Benzyl benzoate,Phenylpropanoid,Benzoate ester,High,Marker,Contributes antimicrobial and antiparasitic activity; important allergenic constituent.
Balsam of Peru,Myroxylon balsamum var. pereirae,Balsam (oleoresin),Benzyl cinnamate,Phenylpropanoid,Benzoate ester,High,Marker,Contributes antimicrobial aromatic activity; important allergenic constituent.
Balsam of Peru,Myroxylon balsamum var. pereirae,Balsam (oleoresin),Benzoic acid,Polyphenol,Phenolic acid,Moderate,Major,Contributes antimicrobial preservative-like activity.
Balsam of Peru,Myroxylon balsamum var. pereirae,Balsam (oleoresin),Cinnamic acid,Polyphenol,Hydroxycinnamic acid,Moderate,Major,Contributes antimicrobial and aromatic phenolic activity.
Barberry,Berberis vulgaris,Root bark,Jatrorrhizine,Alkaloid,Protoberberine alkaloid,Moderate,Present,Contributes antimicrobial and bitter protoberberine-alkaloid activity.
Barberry,Berberis vulgaris,Root bark,Columbamine,Alkaloid,Protoberberine alkaloid,Low–Moderate,Present,Contributes antimicrobial and bitter protoberberine-alkaloid activity.
Barberry,Berberis vulgaris,Root bark,Berberine,Alkaloid,Protoberberine alkaloid,High,Marker,"Major contributor to antimicrobial, bitter tonic, and cholagogue activity."
Barberry,Berberis vulgaris,Root bark,Palmatine,Alkaloid,Protoberberine alkaloid,Moderate,Major,Contributes antimicrobial and bitter protoberberine-alkaloid activity.
Bayberry,Myrica cerifera,Root bark,Catechin,Flavonoid,Flavan-3-ol,Moderate,Present,Contributes antioxidant and astringent flavan-3-ol activity.
Bayberry,Myrica cerifera,Root bark,Gallic acid,Polyphenol,Phenolic acid,Moderate,Present,"Supports astringent, antioxidant, and antimicrobial phenolic activity."
Bayberry,Myrica cerifera,Root bark,Myricitrin,Flavonoid,Flavonol glycoside,High,Marker,"Contributes astringent, antioxidant, and anti-inflammatory activity."
Bayberry,Myrica cerifera,Root bark,Myricetin,Flavonoid,Flavonol,Moderate,Major,Contributes antioxidant and anti-inflammatory flavonol activity.
Bayberry,Myrica cerifera,Root bark,Procyanidins,Tannin,Condensed tannin,Moderate,Major,"Contribute astringent, antioxidant, and capillary-supportive activity."
Birch,Betula spp.,Bark,Catechin,Flavonoid,Flavan-3-ol,Low–Moderate,Present,Contributes antioxidant and astringent flavan-3-ol activity.
Birch,Betula spp.,Bark,Procyanidins,Tannin,Condensed tannin,Low–Moderate,Present,"Contribute astringent, antioxidant, and capillary-supportive activity."
Birch,Betula spp.,Bark,Betulin,Terpenoid,Pentacyclic triterpenoid,High,Marker,Contributes anti-inflammatory and skin-protective triterpenoid activity.
Birch,Betula spp.,Bark,Betulinic acid,Terpenoid,Pentacyclic triterpenoid,Moderate,Major,"Contributes anti-inflammatory, antimicrobial, and tissue-protective activity."
Birch,Betula spp.,Bark,Methyl salicylate,Phenylpropanoid,Aromatic acid,Moderate,Major,"Contributes analgesic, anti-inflammatory, and counterirritant activity."
Bistort,Polygonum bistorta,Rhizome,Gallic acid,Polyphenol,Phenolic acid,Moderate,Present,"Supports astringent, antioxidant, and antimicrobial phenolic activity."
Bistort,Polygonum bistorta,Rhizome,Procyanidins,Tannin,Condensed tannin,High,Marker,"Contribute astringent, antioxidant, and capillary-supportive activity."
Bistort,Polygonum bistorta,Rhizome,Catechin,Flavonoid,Flavan-3-ol,Moderate,Major,Contributes antioxidant and astringent flavan-3-ol activity.
Bistort,Polygonum bistorta,Rhizome,Ellagitannins,Tannin,Ellagitannin,Moderate,Major,"Contribute strong astringent, anti-inflammatory, and mucosal toning activity."
Black Catechu,Acacia catechu,Heartwood extract,Quercetin,Flavonoid,Flavonol,Low–Moderate,Present,"Contributes antioxidant, anti-inflammatory, and mast-cell-modulating activity."
Black Catechu,Acacia catechu,Heartwood extract,Catechin,Flavonoid,Flavan-3-ol,High,Marker,Contributes antioxidant and astringent flavan-3-ol activity.
Black Catechu,Acacia catechu,Heartwood extract,Epicatechin,Flavonoid,Flavan-3-ol,Moderate,Major,Contributes antioxidant and astringent flavan-3-ol activity.
Black Catechu,Acacia catechu,Heartwood extract,Catechutannic acid,Tannin,Condensed tannin,High,Major,Contributes strong astringent and mucosal toning activity.
Black Cohosh,Cimicifuga racemosa,Rhizome & root,Cimigenol,Glycoside,Triterpenoid saponin,Moderate,Present,Contributes cycloartane-triterpene activity associated with black cohosh.
Black Cohosh,Cimicifuga racemosa,Rhizome & root,27-Deoxyactein,Glycoside,Triterpenoid saponin,High,Marker,Contributes endocrine and anti-inflammatory activity associated with black cohosh.
Black Cohosh,Cimicifuga racemosa,Rhizome & root,Actein,Glycoside,Triterpenoid saponin,High,Marker,Contributes endocrine and anti-inflammatory activity associated with black cohosh.
Black Cohosh,Cimicifuga racemosa,Rhizome & root,Cimiracemoside A,Glycoside,Triterpenoid saponin,Moderate,Major,Contributes cycloartane-glycoside activity associated with black cohosh.
Black Cohosh,Cimicifuga racemosa,Rhizome & root,Isoferulic acid,Polyphenol,Hydroxycinnamic acid,Moderate,Major,Contributes anti-inflammatory phenolic activity in black cohosh.
Black Haw,Viburnum prunifolium,Bark,Chlorogenic acid,Polyphenol,Caffeoylquinic acid,Moderate,Present,"Contributes antioxidant, hepatoprotective, and bitter digestive-support activity."
Black Haw,Viburnum prunifolium,Bark,Scopoletin,Coumarin,Simple coumarin,High,Marker,"Contributes antispasmodic and anti-inflammatory activity, especially on smooth muscle."
Black Haw,Viburnum prunifolium,Bark,Esculetin,Coumarin,Simple coumarin,Moderate,Major,Contributes smooth-muscle antispasmodic and anti-inflammatory activity.
Black Haw,Viburnum prunifolium,Bark,β-Sitosterol,Sterol,Phytosterol,Moderate,Major,"Contributes anti-inflammatory, membrane-stabilizing, and endocrine-modulating activity."
Black Root,Leptandra virginica,Root,Catalpol,Glycoside,Phenolic glycoside,Moderate,Present,Contributes anti-inflammatory and hepatoprotective iridoid activity.
Black Root,Leptandra virginica,Root,Leptandrin,Glycoside,Iridoid glycoside,High,Marker,Contributes bitter hepatic and cathartic activity historically associated with black root.
Black Root,Leptandra virginica,Root,Aucubin,Glycoside,Phenolic glycoside,Moderate,Major,"Contributes bitter, anti-inflammatory, hepatoprotective, and vulnerary iridoid activity."
Blackberry,Rubus villosus,Root bark,Catechin,Flavonoid,Flavan-3-ol,Moderate,Present,Contributes antioxidant and astringent flavan-3-ol activity.
Blackberry,Rubus villosus,Root bark,Ellagitannins,Tannin,Ellagitannin,High,Marker,"Contribute strong astringent, anti-inflammatory, and mucosal toning activity."
Blackberry,Rubus villosus,Root bark,Gallic acid,Polyphenol,Phenolic acid,Moderate,Major,"Supports astringent, antioxidant, and antimicrobial phenolic activity."
Blackberry,Rubus villosus,Root bark,Procyanidins,Tannin,Condensed tannin,Moderate,Major,"Contribute astringent, antioxidant, and capillary-supportive activity."
Bloodroot,Sanguinaria canadensis,Rhizome,Sanguidimerine,Alkaloid,Benzophenanthridine alkaloid,Low–Moderate,Present,Contributes characteristic benzophenanthridine alkaloid activity.
Bloodroot,Sanguinaria canadensis,Rhizome,Sanguinarine,Alkaloid,Benzophenanthridine alkaloid,High,Marker,Contributes antimicrobial and escharotic activity; also important for toxicity.
Bloodroot,Sanguinaria canadensis,Rhizome,Chelilutine,Alkaloid,Benzophenanthridine alkaloid,Moderate,Major,Contributes characteristic benzophenanthridine alkaloid activity.
Bloodroot,Sanguinaria canadensis,Rhizome,Chelerythrine,Alkaloid,Benzophenanthridine alkaloid,High,Major,Contributes antimicrobial and irritant alkaloid activity.
Blue Cohosh,Caulophyllum thalictroides,Root & rhizome,N-Methylcytisine,Alkaloid,Quinolizidine alkaloid,Low–Moderate,Present,Contributes toxicologically important nicotinic/uterotonic alkaloid activity.
Blue Cohosh,Caulophyllum thalictroides,Root & rhizome,Caulosaponin,Glycoside,Triterpenoid saponin,High,Marker,Contributes uterine-stimulating and smooth-muscle activity of blue cohosh.
Blue Cohosh,Caulophyllum thalictroides,Root & rhizome,Magnoflorine,Alkaloid,Aporphine alkaloid,Moderate,Major,Contributes smooth-muscle and nervous-system activity in blue cohosh.
